customer_id,city,zip_code,total_population,latitude,longitude
0002-ORFBO,Frazier Park,93225,4498,34.827662,-118.999073
0003-MKNFE,Glendale,91206,31297,34.162515,-118.203869
0004-TLHLJ,Costa Mesa,92627,62069,33.645672,-117.922613
0011-IGKFF,Martinez,94553,46677,38.014457,-122.115432
0013-EXCHZ,Camarillo,93010,42853,34.227846,-119.079903
0013-MHZWF,Midpines,95345,433,37.581496,-119.972762
0013-SMEOE,Lompoc,93437,6165,34.757477,-120.550507
0014-BMAQU,Napa,94558,63947,38.489789,-122.27011
0015-UOCOJ,Simi Valley,93063,49027,34.296813,-118.685703
0016-QLJIS,Sheridan,95681,1219,38.984756,-121.345074
0017-DINOC,Rancho Santa Fe,92091,1072,32.99356,-117.207121
0017-IUDMW,Sunnyvale,94086,64010,37.378541,-122.020456
0018-NYROU,Antelope,95843,36432,38.715498,-121.363411
0019-EFAEP,La Mesa,91942,24005,32.782501,-117.01611
0019-GFNTW,Los Olivos,93441,1317,34.70434,-120.02609
0020-INWCK,Woodlake,93286,8870,36.464635,-119.094348
0020-JDNXP,Point Reyes Station,94956,1885,38.060264,-122.830646
0021-IKXGC,San Marcos,92078,6760,33.119028,-117.166036
0022-TCJCI,Daly City,94015,63337,37.680844,-122.48131
0023-HGHWL,Morgan Hill,95037,41707,37.161544,-121.649371
0023-UYUPN,Ahwahnee,93601,1968,37.375816,-119.739935
0023-XUOPT,Carnelian Bay,96140,1943,39.227434,-120.091806
0027-KWYKW,Alpaugh,93201,1054,35.869626,-119.498771
0030-FNXPP,Keeler,93530,71,36.560498,-117.962461
0031-PVLZI,Korbel,95550,155,40.7666,-123.80458
0032-PGELS,Palomar Mountain,92060,234,33.309852,-116.823091
0036-IHMOT,Parlier,93648,12587,36.622237,-119.521126
0040-HALCW,Modesto,95358,30668,37.612612,-121.108568
0042-JVWOJ,Glen Ellen,95442,4101,38.368744,-122.522642
0042-RLHYP,Eureka,95503,23570,40.737431,-124.108897
0048-LUMLS,Moss Beach,94038,3064,37.515556,-122.502311
0048-PIHNL,Los Angeles,90058,3642,34.001617,-118.222274
0052-DCKON,Los Angeles,90063,55668,34.044271,-118.185237
0052-YNYOT,Calexico,92231,27804,32.690654,-115.431225
