customer_id,satisfaction_score,cltv,customer_status,churn_label,churn_category,churn_group,razon_abandono
0002-ORFBO,3,2205,Stayed,No,Not Applicable,"[60, 70)",Competitor had better devices
0003-MKNFE,5,5414,Stayed,No,Not Applicable,"[60, 70)",Competitor had better devices
0004-TLHLJ,1,4479,Churned,Yes,Competitor,"[70, 80)",Competitor had better devices
0011-IGKFF,1,3714,Churned,Yes,Dissatisfaction,"[90, 100)",Product dissatisfaction
0013-EXCHZ,1,3464,Churned,Yes,Dissatisfaction,"[60, 70)",Network reliability
0013-MHZWF,3,5108,Stayed,No,Not Applicable,"[50, 60)",Attitude of service provider
0013-SMEOE,3,5011,Stayed,No,Not Applicable,"[20, 30)",Attitude of service provider
0014-BMAQU,4,4604,Stayed,No,Not Applicable,"[40, 50)",Attitude of service provider
0015-UOCOJ,3,5525,Stayed,No,Not Applicable,"[30, 40)",Attitude of service provider
0016-QLJIS,3,5509,Stayed,No,Not Applicable,"[20, 30)",Attitude of service provider
0017-DINOC,4,5435,Stayed,No,Not Applicable,"[50, 60)",Attitude of service provider
0017-IUDMW,3,6252,Stayed,No,Not Applicable,"[50, 60)",Attitude of service provider
0018-NYROU,3,5536,Stayed,No,Not Applicable,"[50, 60)",Attitude of service provider
0019-EFAEP,3,5513,Stayed,No,Not Applicable,"[50, 60)",Attitude of service provider
0019-GFNTW,3,5795,Stayed,No,Not Applicable,"[30, 40)",Attitude of service provider
0020-INWCK,5,4865,Stayed,No,Not Applicable,"[20, 30)",Attitude of service provider
0020-JDNXP,4,3607,Stayed,No,Not Applicable,"[30, 40)",Attitude of service provider
0021-IKXGC,4,4432,Joined,No,Not Applicable,"[50, 60)",Attitude of service provider
0022-TCJCI,1,2654,Churned,Yes,Dissatisfaction,"[90, 100)",Limited range of services
0023-HGHWL,3,5437,Churned,Yes,Competitor,"[80, 90)",Competitor made better offer
0023-UYUPN,3,4015,Stayed,No,Not Applicable,"[60, 70)",Competitor had better devices
0023-XUOPT,1,2973,Churned,Yes,Other,"[70, 80)",Don't know
0027-KWYKW,4,3585,Stayed,No,Not Applicable,"[70, 80)",Competitor made better offer
0030-FNXPP,4,5634,Joined,No,Not Applicable,"[50, 60)",Attitude of service provider
0031-PVLZI,1,4133,Churned,Yes,Price,"[80, 90)",Long distance charges
0032-PGELS,1,5171,Churned,Yes,Attitude,"[70, 80)",Attitude of service provider
0036-IHMOT,3,5892,Stayed,No,Not Applicable,"[60, 70)",Competitor had better devices
0040-HALCW,4,6393,Stayed,No,Not Applicable,"[60, 70)",Competitor had better devices
0042-JVWOJ,4,3722,Stayed,No,Not Applicable,"[20, 30)",Attitude of service provider
0042-RLHYP,5,4131,Stayed,No,Not Applicable,"[70, 80)",Competitor made better offer
0048-LUMLS,5,5263,Stayed,No,Not Applicable,"[50, 60)",Attitude of service provider
0048-PIHNL,3,6061,Stayed,No,Not Applicable,"[20, 30)",Attitude of service provider
0052-DCKON,3,5845,Stayed,No,Not Applicable,"[40, 50)",Attitude of service provider
0052-YNYOT,5,5462,Stayed,No,Not Applicable,"[70, 80)",Competitor made better offer
0056-EPFBG,3,3899,Stayed,No,Not Applicable,"[20, 30)",Attitude of service provider
0057-QBUQH,4,4797,Stayed,No,Not Applicable,"[50, 60)",Attitude of service provider
0058-EVZWM,3,5875,Stayed,No,Not Applicable,"[40, 50)",Attitude of service provider
0060-FUALY,3,5238,Stayed,No,Not Applicable,"[20, 30)",Attitude of service provider
0064-SUDOG,5,5190,Stayed,No,Not Applicable,"[50, 60)",Attitude of service provider
0064-YIJGF,3,4994,Stayed,No,Not Applicable,"[40, 50)",Attitude of service provider
0067-DKWBL,2,3475,Churned,Yes,Competitor,"[90, 100)",Competitor made better offer
0068-FIGTF,3,2297,Stayed,No,Not Applicable,"[50, 60)",Attitude of service provider
0071-NDAFP,3,5230,Stayed,No,Not Applicable,"[60, 70)",Competitor had better devices
0074-HDKDG,3,3807,Stayed,No,Not Applicable,"[60, 70)",Competitor had better devices
0076-LVEPS,4,3290,Stayed,No,Not Applicable,"[70, 80)",Competitor made better offer
0078-XZMHT,3,6322,Stayed,No,Not Applicable,"[70, 80)",Competitor made better offer
0080-EMYVY,3,4298,Stayed,No,Not Applicable,"[50, 60)",Attitude of service provider
0080-OROZO,3,3244,Stayed,No,Not Applicable,"[30, 40)",Attitude of service provider
