customer_id,phone_service,internet_service,online_security,online_backup,device_protection,premium_tech_support,streaming_tv,streaming_movies,streaming_music,internet_type
0002-ORFBO,1,1,0,1,0,1,1,0,0,Cable
0003-MKNFE,1,1,0,0,0,0,0,1,1,Cable
0004-TLHLJ,1,1,0,0,1,0,0,0,0,Fiber Optic
0011-IGKFF,1,1,0,1,1,0,1,1,0,Fiber Optic
0013-EXCHZ,1,1,0,0,0,1,1,0,0,Fiber Optic
0013-MHZWF,1,1,0,0,0,1,1,1,1,Cable
0013-SMEOE,1,1,1,1,1,1,1,1,1,Fiber Optic
0014-BMAQU,1,1,1,0,0,1,0,0,0,Fiber Optic
0015-UOCOJ,1,1,1,0,0,0,0,0,0,DSL
0016-QLJIS,1,1,1,1,1,1,1,1,1,Cable
0017-DINOC,0,1,1,0,0,1,1,0,0,Cable
0017-IUDMW,1,1,1,1,1,1,1,1,1,Fiber Optic
0018-NYROU,1,1,0,0,0,0,0,0,0,Fiber Optic
0019-EFAEP,1,1,1,1,1,0,1,0,0,Fiber Optic
0019-GFNTW,0,1,1,1,1,1,0,0,0,DSL
0020-INWCK,1,1,0,1,1,0,0,1,1,Fiber Optic
0020-JDNXP,0,1,1,0,1,1,1,1,1,DSL
0021-IKXGC,1,1,0,0,0,0,0,0,0,Fiber Optic
0022-TCJCI,1,1,1,0,1,0,0,1,0,DSL
0023-HGHWL,0,1,0,0,0,0,0,0,0,Cable
0023-UYUPN,1,0,0,0,0,0,0,0,0,Sin servicio
0023-XUOPT,1,1,0,1,1,0,1,0,0,Fiber Optic
0027-KWYKW,1,1,0,0,0,0,1,0,0,Fiber Optic
0030-FNXPP,1,0,0,0,0,0,0,0,0,Sin servicio
0031-PVLZI,1,0,0,0,0,0,0,0,0,Sin servicio
0032-PGELS,0,1,1,0,0,0,0,0,0,DSL
0036-IHMOT,1,1,0,1,1,1,1,1,1,Fiber Optic
0040-HALCW,1,0,0,0,0,0,0,0,0,Sin servicio
0042-JVWOJ,1,0,0,0,0,0,0,0,0,Sin servicio
0042-RLHYP,1,0,0,0,0,0,0,0,0,Sin servicio
0048-LUMLS,1,1,0,0,0,0,1,1,1,Fiber Optic
0048-PIHNL,1,0,0,0,0,0,0,0,0,Sin servicio
0052-DCKON,1,1,1,1,1,1,1,1,1,Fiber Optic
0052-YNYOT,1,0,0,0,0,0,0,0,0,Sin servicio
0056-EPFBG,0,1,1,0,1,1,0,0,0,Cable
0057-QBUQH,1,0,0,0,0,0,0,0,0,Sin servicio
0058-EVZWM,1,1,1,0,0,0,1,0,0,Fiber Optic
0060-FUALY,1,1,1,1,0,0,1,0,0,Fiber Optic
0064-SUDOG,1,0,0,0,0,0,0,0,0,Sin servicio
0064-YIJGF,1,1,0,0,0,0,0,0,0,Fiber Optic
0067-DKWBL,1,1,1,0,0,0,0,0,0,DSL
0068-FIGTF,1,1,0,1,1,1,1,1,1,DSL
0071-NDAFP,1,0,0,0,0,0,0,0,0,Sin servicio
0074-HDKDG,1,1,1,1,1,0,0,0,0,Cable
0076-LVEPS,0,1,1,1,1,1,0,0,0,DSL
0078-XZMHT,1,1,0,1,1,1,1,1,1,DSL
0080-EMYVY,1,1,0,1,0,0,0,0,0,Cable
0080-OROZO,1,1,0,0,1,1,1,1,1,Fiber Optic
0082-LDZUE,1,1,0,0,0,0,0,0,0,DSL
0082-OQIQY,1,1,0,0,0,1,1,1,1,Fiber Optic
0083-PIVIK,1,1,1,1,1,1,1,0,0,DSL
0089-IIQKO,1,1,0,0,0,1,1,1,1,Fiber Optic
0093-EXYQL,1,1,0,0,0,0,1,1,0,Fiber Optic
0093-XWZFY,1,1,0,1,1,0,1,1,1,Fiber Optic
0094-OIFMO,1,1,0,1,0,0,1,1,0,Fiber Optic
0096-BXERS,1,1,0,0,0,0,0,0,0,Cable
0096-FCPUF,1,1,1,0,0,0,0,1,1,DSL
0098-BOWSO,1,0,0,0,0,0,0,0,0,Sin servicio
0100-DUVFC,1,1,0,1,1,0,1,1,0,Fiber Optic
0103-CSITQ,1,1,0,1,1,1,1,1,1,Fiber Optic
0104-PPXDV,1,1,0,0,1,0,0,0,0,DSL
0106-GHRQR,1,1,0,1,1,0,0,1,1,DSL
0106-UGRDO,1,1,1,1,1,1,1,1,1,Fiber Optic
0107-WESLM,1,0,0,0,0,0,0,0,0,Sin servicio
0107-YHINA,1,1,0,0,1,0,1,1,1,Fiber Optic
0111-KLBQG,1,1,0,1,0,0,1,1,1,Fiber Optic
0112-QAWRZ,1,1,0,0,1,0,1,0,0,Fiber Optic
0112-QWPNC,1,1,1,0,1,1,1,1,1,Cable
0114-IGABW,0,1,0,1,1,1,1,1,1,Cable
0114-PEGZZ,1,1,0,1,1,0,1,1,1,Fiber Optic
0114-RSRRW,1,0,0,0,0,0,0,0,0,Sin servicio
0115-TFERT,1,1,0,1,1,1,1,1,1,Fiber Optic
0117-LFRMW,0,1,1,1,1,0,0,0,0,DSL
0118-JPNOY,1,1,1,0,0,0,1,0,0,Fiber Optic
0121-SNYRK,0,1,1,0,0,1,0,0,0,DSL
0122-OAHPZ,1,1,0,0,0,0,0,0,1,Fiber Optic
0123-CRBRT,1,1,1,1,1,1,1,1,1,DSL
0125-LZQXK,1,1,0,0,1,1,1,1,1,Fiber Optic
0128-MKWSG,0,1,1,0,0,1,0,1,1,DSL
0129-KPTWJ,1,1,0,0,1,0,1,1,1,Fiber Optic
0129-QMPDR,1,0,0,0,0,0,0,0,0,Sin servicio
0130-SXOUN,1,1,0,1,0,0,0,1,1,Fiber Optic
0133-BMFZO,1,1,1,1,0,1,0,0,0,Fiber Optic
0134-XWXCE,1,1,0,0,1,1,1,1,1,DSL
0135-NMXAP,1,1,0,1,0,0,1,0,0,Fiber Optic
0136-IFMYD,1,1,0,1,1,1,1,1,0,Fiber Optic
0137-OCGAB,1,1,0,1,0,0,0,0,0,Fiber Optic
0137-UDEUO,1,0,0,0,0,0,0,0,0,Sin servicio
0139-IVFJG,1,1,1,1,0,0,1,0,0,Fiber Optic
0141-YEAYS,1,1,0,1,1,0,0,0,0,Fiber Optic
0142-GVYSN,1,0,0,0,0,0,0,0,0,Sin servicio
0147-ESWWR,1,1,0,0,0,1,1,1,1,Fiber Optic
